Price,Close,High,Low,Open,Volume,Return,MA10,MA50,Signal,Position,Strategy_Return,Equity_Curve,Market_Curve,Price
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2022-07-06,140.660,141.840,138.850,139.120,74064300,0.010,137.170,143.140,-1,-1.000,-0.010,10716.630,19369.550,140.660
2022-07-07,144.040,144.240,141.020,141.030,66253700,0.020,138.260,142.820,-1,-1.000,-0.020,10459.440,19834.410,144.040
2022-07-08,144.720,145.220,142.710,142.970,64547800,0.000,139.120,142.630,-1,-1.000,-0.000,10410.120,19927.920,144.720
2022-07-11,142.580,144.320,141.510,143.370,63141600,-0.010,139.440,142.400,-1,-1.000,0.010,10563.750,19633.830,142.580
2022-07-12,143.560,146.110,142.760,143.460,77588800,0.010,139.850,142.060,-1,-1.000,-0.010,10491.570,19768.000,143.560
2022-07-13,143.190,144.140,139.880,140.730,71185600,-0.000,140.640,141.820,-1,-1.000,0.000,10518.180,19717.860,143.190
2022-07-14,146.130,146.600,140.990,141.800,78140700,0.020,141.550,141.640,-1,-1.000,-0.020,10302.740,20121.720,146.130
2022-07-15,147.800,148.480,145.860,147.410,76259900,0.010,142.870,141.460,1,-1.000,-0.010,10184.770,20352.120,147.800
2022-07-18,144.750,149.180,144.380,148.360,81420900,-0.020,143.670,141.090,1,1.000,-0.020,9974.520,19931.990,144.750
2022-07-19,148.620,148.840,144.590,145.580,82982400,0.030,144.600,140.980,1,1.000,0.030,10241.070,20464.610,148.620
2022-07-20,150.620,151.290,148.000,148.730,64823400,0.010,145.600,140.900,1,1.000,0.010,10379.420,20741.090,150.620
2022-07-21,152.900,153.110,149.540,152.060,65086600,0.020,146.490,140.970,1,1.000,0.020,10536.090,21054.150,152.900
2022-07-22,151.660,153.810,150.990,152.940,66675400,-0.010,147.180,140.960,1,1.000,-0.010,10450.630,20883.390,151.660
2022-07-25,150.530,152.590,149.880,151.580,53623900,-0.010,147.970,141.080,1,1.000,-0.010,10373.310,20728.890,150.530
2022-07-26,149.210,150.670,148.420,149.860,55138700,-0.010,148.540,141.260,1,1.000,-0.010,10281.760,20545.930,149.210
2022-07-27,154.310,154.850,149.760,150.170,78620700,0.030,149.650,141.450,1,1.000,0.030,10633.750,21249.310,154.310
2022-07-28,154.870,155.150,151.970,154.500,81378700,0.000,150.530,141.690,1,1.000,0.000,10671.730,21325.200,154.870
2022-07-29,159.940,161.050,156.980,158.690,101786900,0.030,151.740,141.950,1,1.000,0.030,11021.690,22024.530,159.940
2022-08-01,158.960,161.010,158.350,158.470,67829400,-0.010,153.160,142.350,1,1.000,-0.010,10953.870,21889.000,158.960
2022-08-02,157.480,159.850,157.110,157.570,59907000,-0.010,154.050,142.800,1,1.000,-0.010,10852.140,21685.710,157.480
2022-08-03,163.510,163.960,158.210,158.300,82507500,0.040,155.340,143.360,1,1.000,0.040,11267.200,22515.130,163.510
2022-08-04,163.190,164.550,161.830,163.390,55474100,-0.000,156.370,143.810,1,1.000,-0.000,11245.500,22471.770,163.190
2022-08-05,162.970,163.460,160.650,160.860,56697000,-0.000,157.500,144.300,1,1.000,-0.000,11229.880,22440.560,162.970
2022-08-08,162.490,165.390,161.830,163.970,60276900,-0.000,158.690,144.790,1,1.000,-0.000,11197.280,22375.410,162.490
2022-08-09,162.540,163.430,160.900,161.650,63135500,0.000,160.030,145.210,1,1.000,0.000,11200.680,22382.190,162.540
2022-08-10,166.800,166.900,164.490,165.260,70170500,0.030,161.270,145.600,1,1.000,0.030,11494.070,22968.490,166.800
2022-08-11,166.060,168.520,165.760,167.610,57149200,-0.000,162.390,145.990,1,1.000,-0.000,11443.140,22866.700,166.060
2022-08-12,169.620,169.690,166.960,167.370,68039400,0.020,163.360,146.460,1,1.000,0.020,11688.310,23356.630,169.620
2022-08-15,170.690,170.890,168.880,169.050,54091700,0.010,164.530,146.890,1,1.000,0.010,11762.340,23504.560,170.690
2022-08-16,170.530,171.200,169.180,170.290,56377100,-0.000,165.840,147.440,1,1.000,-0.000,11751.470,23482.850,170.530
2022-08-17,172.030,173.610,170.080,170.280,79542000,0.010,166.690,148.010,1,1.000,0.010,11854.700,23689.130,172.030
2022-08-18,171.640,172.380,170.620,171.240,62290100,-0.000,167.540,148.510,1,1.000,-0.000,11827.540,23634.850,171.640
2022-08-19,169.050,171.230,168.840,170.530,70346300,-0.020,168.150,148.980,1,1.000,-0.020,11648.920,23277.920,169.050
2022-08-22,165.150,167.410,164.730,167.240,69026800,-0.020,168.410,149.480,1,1.000,-0.020,11380.650,22741.840,165.150
2022-08-23,164.820,166.280,164.250,164.670,54147100,-0.000,168.640,150.070,1,1.000,-0.000,11357.560,22695.690,164.820
2022-08-24,165.110,165.690,163.850,164.910,53841500,0.000,168.470,150.780,1,1.000,0.000,11377.940,22736.410,165.110
2022-08-25,167.580,167.690,165.920,166.350,51218200,0.010,168.620,151.520,1,1.000,0.010,11547.730,23075.700,167.580
2022-08-26,161.260,168.580,161.200,168.110,78961000,-0.040,167.790,152.080,1,1.000,-0.040,11112.390,22205.760,161.260
2022-08-29,159.050,160.550,157.510,158.830,73314000,-0.010,166.620,152.700,1,1.000,-0.010,10960.260,21901.760,159.050
2022-08-30,156.620,160.220,155.450,159.790,77906200,-0.020,165.230,153.240,1,1.000,-0.020,10792.500,21566.550,156.620
2022-08-31,154.950,158.260,154.870,158.000,87991100,-0.010,163.520,153.670,1,1.000,-0.010,10677.730,21337.190,154.950
2022-09-01,155.680,156.140,152.440,154.380,74229900,0.000,161.930,154.110,1,1.000,0.000,10727.980,21437.610,155.680
2022-09-02,153.560,158.050,152.730,157.450,76957800,-0.010,160.380,154.460,1,1.000,-0.010,10581.970,21145.830,153.560
2022-09-06,152.300,154.820,151.470,154.210,73714800,-0.010,159.090,154.720,1,1.000,-0.010,10495.030,20972.110,152.300
2022-09-07,153.710,154.410,151.390,152.590,87449600,0.010,157.980,155.010,1,1.000,0.010,10592.150,21166.190,153.710
2022-09-08,152.230,154.100,150.480,152.410,84923800,-0.010,156.690,155.350,1,1.000,-0.010,10490.280,20962.610,152.230
2022-09-09,155.100,155.540,152.520,153.230,68028800,0.020,155.450,155.710,-1,1.000,0.020,10687.910,21357.540,155.100
2022-09-12,161.070,161.890,157.000,157.290,104956000,0.040,155.430,156.240,-1,-1.000,-0.040,10276.340,22179.980,161.070
2022-09-13,151.620,158.220,151.160,157.590,122656600,-0.060,154.690,156.540,-1,-1.000,0.060,10879.350,20878.470,151.620
2022-09-14,153.070,154.830,151.390,152.560,87965400,0.010,154.330,156.810,-1,-1.000,-0.010,10775.400,21077.970,153.070
2022-09-15,150.170,153.000,149.200,152.420,90481100,-0.020,153.850,157.000,-1,-1.000,0.020,10979.380,20678.960,150.170
2022-09-16,148.530,149.170,146.230,149.030,162278800,-0.010,153.140,157.090,-1,-1.000,0.010,11099.710,20452.320,148.530
2022-09-19,152.250,152.330,146.950,147.160,81474200,0.030,153.010,157.240,-1,-1.000,-0.030,10821.300,20965.330,152.250
2022-09-20,154.640,155.800,150.870,151.190,107689800,0.020,153.240,157.480,-1,-1.000,-0.020,10651.780,21293.760,154.640
2022-09-21,151.500,156.450,151.380,155.070,101696800,-0.020,153.020,157.640,-1,-1.000,0.020,10867.660,20862.180,151.500
2022-09-22,150.540,152.240,148.730,150.180,86652500,-0.010,152.850,157.790,-1,-1.000,0.010,10936.950,20729.180,150.540
2022-09-23,148.260,149.290,146.420,149.010,96029900,-0.020,152.170,157.830,-1,-1.000,0.020,11102.360,20415.680,148.260
2022-09-26,148.600,151.550,147.480,147.500,93339400,0.000,150.920,157.850,-1,-1.000,-0.000,11077.260,20461.820,148.600
2022-09-27,149.570,152.490,147.790,150.540,84442700,0.010,150.710,157.940,-1,-1.000,-0.010,11004.530,20596.180,149.570
2022-09-28,147.680,148.470,142.750,145.510,146691400,-0.010,150.170,157.920,-1,-1.000,0.010,11143.750,20335.600,147.680
2022-09-29,140.430,144.600,138.650,143.990,128138200,-0.050,149.200,157.720,-1,-1.000,0.050,11691.120,19336.740,140.430
2022-09-30,136.210,141.040,136.010,139.240,124925300,-0.030,147.970,157.390,-1,-1.000,0.030,12042.310,18755.880,136.210
2022-10-03,140.400,141.010,135.700,136.220,114311700,0.030,146.780,157.160,-1,-1.000,-0.030,11671.980,19332.670,140.400
2022-10-04,143.990,144.110,142.180,142.940,87830100,0.030,145.720,157.030,-1,-1.000,-0.030,11372.910,19828.030,143.990
2022-10-05,144.290,145.250,140.950,141.990,79471000,0.000,145.000,156.930,-1,-1.000,-0.000,11349.560,19868.740,144.290
2022-10-06,143.330,145.410,143.130,143.710,68402200,-0.010,144.270,156.710,-1,-1.000,0.010,11424.760,19737.100,143.330
2022-10-07,138.070,141.040,137.440,140.480,85925600,-0.040,143.260,156.380,-1,-1.000,0.040,11844.260,19012.380,138.070
2022-10-10,138.390,139.840,136.570,138.390,74899000,0.000,142.240,155.950,-1,-1.000,-0.000,11816.360,19057.170,138.390
2022-10-11,136.980,139.310,136.230,137.880,77033700,-0.010,140.980,155.510,-1,-1.000,0.010,11937.540,18861.730,136.980
2022-10-12,136.340,138.340,136.170,137.120,70433700,-0.000,139.840,155.080,-1,-1.000,0.000,11992.500,18774.880,136.340
2022-10-13,140.930,141.520,132.430,133.040,113224000,0.030,139.890,154.630,-1,-1.000,-0.030,11589.400,19405.950,140.930
2022-10-14,136.380,142.440,136.200,142.230,88598000,-0.030,139.910,154.100,-1,-1.000,0.030,11963.050,18780.310,136.380
2022-10-17,140.360,140.840,138.250,139.040,85250900,0.030,139.910,153.640,-1,-1.000,-0.030,11614.650,19327.240,140.360
2022-10-18,141.680,144.580,138.580,143.390,99136600,0.010,139.680,153.230,-1,-1.000,-0.010,11505.360,19509.100,141.680
2022-10-19,141.790,142.860,139.460,139.650,61758300,0.000,139.420,152.810,-1,-1.000,-0.000,11496.560,19524.030,141.790
2022-10-20,141.320,143.790,140.590,140.960,64522000,-0.000,139.220,152.300,-1,-1.000,0.000,11534.120,19460.240,141.320
2022-10-21,145.150,145.720,140.590,140.810,86548600,0.030,139.930,151.880,-1,-1.000,-0.030,11222.020,19986.810,145.150
2022-10-24,147.290,148.060,143.890,145.070,75981900,0.010,140.820,151.440,-1,-1.000,-0.010,11055.900,20282.680,147.290
2022-10-25,150.140,150.290,147.210,147.930,74732300,0.020,142.140,151.030,-1,-1.000,-0.020,10842.110,20674.890,150.140
2022-10-26,147.200,149.800,145.900,148.780,88194300,-0.020,143.220,150.560,-1,-1.000,0.020,11054.900,20269.110,147.200
2022-10-27,142.710,146.900,142.050,145.930,109180200,-0.030,143.400,149.970,-1,-1.000,0.030,11391.700,19651.600,142.710
2022-10-28,153.490,155.230,145.690,146.060,164762400,0.080,145.110,149.610,-1,-1.000,-0.080,10531.030,21136.330,153.490
2022-10-31,151.130,152.020,149.730,150.950,97943200,-0.020,146.190,149.250,-1,-1.000,0.020,10693.310,20810.610,151.130
2022-11-01,148.480,153.210,146.980,152.840,80379300,-0.020,146.870,148.920,-1,-1.000,0.020,10880.900,20445.530,148.480
2022-11-02,142.940,149.980,142.910,146.800,93604600,-0.040,146.990,148.480,-1,-1.000,0.040,11286.810,19682.810,142.940
2022-11-03,136.880,140.740,136.750,140.010,97918500,-0.040,146.540,147.920,-1,-1.000,0.040,11765.430,18848.170,136.880
2022-11-04,136.610,140.850,132.660,140.270,140814800,-0.000,145.690,147.300,-1,-1.000,0.000,11788.340,18811.460,136.610
2022-11-07,137.140,137.370,133.940,135.360,83374600,0.000,144.670,146.810,-1,-1.000,-0.000,11742.340,18884.870,137.140
2022-11-08,137.720,139.620,135.730,138.610,89908500,0.000,143.430,146.390,-1,-1.000,-0.000,11693.320,18963.710,137.720
2022-11-09,133.150,136.780,132.870,136.730,74917800,-0.030,142.020,145.920,-1,-1.000,0.030,12081.420,18334.310,133.150
2022-11-10,144.990,144.990,137.720,139.430,118854000,0.090,142.250,145.720,-1,-1.000,-0.090,11006.480,19965.590,144.990
